Weight	Nested	Procedure	Electric	Heat	Pain	Word	ISI	Related
1		TrialProc	high	none	none	radiation	2000	TRUE
1		TrialProc	none	none	low	reviving	2000	FALSE
1		TrialProc	none	high	none	tearing	2000	FALSE
1		TrialProc	low	none	none	pinching	2000	FALSE
1		TrialProc	none	none	low	tingling	1500	TRUE
1		TrialProc	low	none	none	table	1500	FALSE
1		TrialProc	none	none	high	injury	1500	TRUE
1		TrialProc	none	high	none	reverberation	2000	FALSE
1		TrialProc	none	none	high	friendly	1000	FALSE
1		TrialProc	none	low	none	cozy	1000	TRUE
1		TrialProc	none	none	low	rash	2000	TRUE
1		TrialProc	none	none	low	ambitious 	1500	FALSE
1		TrialProc	none	none	high	misery	1000	TRUE
1		TrialProc	none	none	high	laundry	1000	FALSE
1		TrialProc	none	none	high	walking	1000	FALSE
1		TrialProc	none	low	none	fresh	1000	FALSE
1		TrialProc	none	none	low	wearing	1500	FALSE
1		TrialProc	low	none	none	discussing	1500	FALSE
1		TrialProc	none	low	none	moving	1500	FALSE
1		TrialProc	none	low	none	mild	2000	TRUE
1		TrialProc	high	none	none	explaining	1000	FALSE
1		TrialProc	none	none	low	sauna	2000	FALSE
1		TrialProc	none	high	none	feverish	1000	TRUE
1		TrialProc	none	high	none	activating	1500	FALSE
1		TrialProc	none	none	high	tropical	2000	FALSE
1		TrialProc	none	none	high	electrician	1500	FALSE
1		TrialProc	none	none	high	unbearable	2000	TRUE
1		TrialProc	high	none	none	hot tub	2000	FALSE
1		TrialProc	none	none	high	heavy	2000	TRUE
1		TrialProc	none	high	none	hot spring	1500	TRUE
1		TrialProc	low	none	none	distress	2000	FALSE
1		TrialProc	none	low	none	toque	2000	TRUE
1		TrialProc	high	none	none	vibrating	1000	TRUE
1		TrialProc	high	none	none	current	1000	TRUE
1		TrialProc	none	high	none	oven	1500	TRUE
1		TrialProc	none	none	low	sore	1000	TRUE
1		TrialProc	high	none	none	dynamizing	1500	TRUE
1		TrialProc	none	low	none	avocado	2000	FALSE
1		TrialProc	high	none	none	pustule	1500	FALSE
1		TrialProc	none	low	none	celebrating	1000	FALSE
1		TrialProc	none	low	none	warmth	1000	TRUE
1		TrialProc	none	high	none	grill	2000	TRUE
1		TrialProc	none	high	none	campfire	1000	TRUE
1		TrialProc	high	none	none	square	1000	FALSE
1		TrialProc	none	none	high	desert	1000	FALSE
1		TrialProc	none	high	none	clothes iron	1000	TRUE
1		TrialProc	low	none	none	animating	1500	TRUE
1		TrialProc	none	low	none	summery	2000	TRUE
1		TrialProc	low	none	none	rousing	2000	TRUE
1		TrialProc	none	none	low	prick	1500	TRUE
1		TrialProc	low	none	none	lightbulb	2000	TRUE
1		TrialProc	none	low	none	magnet	1000	FALSE
1		TrialProc	none	none	high	rose	1000	FALSE
1		TrialProc	high	none	none	discharge	1000	TRUE
1		TrialProc	none	high	none	heater	2000	TRUE
1		TrialProc	low	none	none	humid	1000	FALSE
1		TrialProc	none	low	none	clean	1500	FALSE
1		TrialProc	none	none	low	pulsing	1500	TRUE
1		TrialProc	high	none	none	electrifying	1500	TRUE
1		TrialProc	none	none	low	tie	2000	FALSE
1		TrialProc	none	none	low	tender	1000	TRUE
1		TrialProc	low	none	none	on-switch	1000	TRUE
1		TrialProc	none	none	low	small	2000	FALSE
1		TrialProc	none	high	none	sizzling	2000	TRUE
1		TrialProc	low	none	none	smouldering	1500	FALSE
1		TrialProc	none	high	none	love	1000	FALSE
1		TrialProc	none	none	high	punishment	1500	TRUE
1		TrialProc	low	none	none	frequency	1000	TRUE
1		TrialProc	none	high	none	steaming	2000	TRUE
1		TrialProc	none	none	low	canker	1500	TRUE
1		TrialProc	low	none	none	spark	2000	TRUE
1		TrialProc	low	none	none	exciting	2000	TRUE
1		TrialProc	none	none	high	thankful	2000	FALSE
1		TrialProc	none	none	low	socks	1500	FALSE
1		TrialProc	none	none	low	jumpy	1000	FALSE
1		TrialProc	low	none	none	flame	2000	FALSE
1		TrialProc	high	none	none	adorable	1500	FALSE
1		TrialProc	none	low	none	concentrating	1500	FALSE
1		TrialProc	none	low	none	annoying	1500	FALSE
1		TrialProc	none	low	none	thawing	2000	TRUE
1		TrialProc	low	none	none	prickling	1000	TRUE
1		TrialProc	high	none	none	convulsing	2000	TRUE
1		TrialProc	none	none	high	garden	2000	FALSE
1		TrialProc	low	none	none	alert	1500	TRUE
1		TrialProc	none	high	none	roasting	1500	TRUE
1		TrialProc	none	none	low	lukewarm	1500	FALSE
1		TrialProc	high	none	none	contributing	2000	FALSE
1		TrialProc	high	none	none	hearth	1000	FALSE
1		TrialProc	none	high	none	boiling	1000	TRUE
1		TrialProc	none	none	high	blush	2000	FALSE
1		TrialProc	none	none	low	sunburn	1000	TRUE
1		TrialProc	none	none	high	intelligent	1500	FALSE
1		TrialProc	none	high	none	baking	1500	TRUE
1		TrialProc	none	none	high	tea	1500	FALSE
1		TrialProc	high	none	none	energizing	2000	TRUE
1		TrialProc	low	none	none	charged	2000	TRUE
1		TrialProc	none	low	none	ulcer	1500	FALSE
1		TrialProc	none	low	none	incinerator	1000	FALSE
1		TrialProc	high	none	none	jolt	1500	TRUE
1		TrialProc	none	none	high	cramping	1500	TRUE
1		TrialProc	high	none	none	agonizing	1000	FALSE
1		TrialProc	high	none	none	rice 	2000	FALSE
1		TrialProc	none	none	high	circuit	1000	FALSE
1		TrialProc	none	none	low	mittens	1000	FALSE
1		TrialProc	none	low	none	blaze	2000	FALSE
1		TrialProc	none	low	none	temperate	2000	TRUE
1		TrialProc	none	none	low	dividing	1000	FALSE
1		TrialProc	none	high	none	cooking	2000	TRUE
1		TrialProc	none	none	high	visiting	1500	FALSE
1		TrialProc	none	low	none	slippers	1000	TRUE
1		TrialProc	none	low	none	scarf	2000	TRUE
1		TrialProc	none	high	none	friend	1500	FALSE
1		TrialProc	none	high	none	sweating	1500	TRUE
1		TrialProc	none	none	low	bracelet	2000	FALSE
1		TrialProc	none	none	high	grandmother	1500	FALSE
1		TrialProc	none	low	none	snow boots	1000	TRUE
1		TrialProc	none	none	low	cutting	2000	TRUE
1		TrialProc	low	none	none	dreaming	1000	FALSE
1		TrialProc	none	high	none	combustion	1500	FALSE
1		TrialProc	none	high	none	voltage	1500	FALSE
1		TrialProc	none	high	none	kind 	2000	FALSE
1		TrialProc	low	none	none	piercing	2000	FALSE
1		TrialProc	none	high	none	pleasant	1500	FALSE
1		TrialProc	none	high	none	soup	1500	TRUE
1		TrialProc	none	low	none	bath	1500	TRUE
1		TrialProc	none	none	high	cruelty	2000	TRUE
1		TrialProc	none	none	low	sharp	1000	TRUE
1		TrialProc	low	none	none	vibration	1000	TRUE
1		TrialProc	none	low	none	sunbathing	1500	TRUE
1		TrialProc	none	none	high	resonating	1000	FALSE
1		TrialProc	low	none	none	electronics	1500	TRUE
1		TrialProc	high	none	none	mouth	1000	FALSE
1		TrialProc	none	none	high	surgery	2000	TRUE
1		TrialProc	none	none	low	blister	2000	TRUE
1		TrialProc	high	none	none	joule	1500	TRUE
1		TrialProc	high	none	none	sunshine	1500	FALSE
1		TrialProc	none	high	none	writing	2000	FALSE
1		TrialProc	none	none	low	warming	1000	FALSE
